email,password,phone,ssn,national_id,credit_card,name,address,iban,swift,routing_number,bank_account,crypto_address,wallet_token,ipv4,ipv6
john.doe@example.com,password123,+1-555-0123,123-45-6789,AB123456C,4532-1234-5678-9010,John Doe,123 Main Street New York NY,DE89370400440532013000,DEUTDEFF,021000021,1234567890,1A1z2aAS4aAss9zYrRSqo2HwFxXwXcEMK8,sk_live_4eC39HqLyjWDarhtT657Q8,192.168.1.100,2001:0db8:85a3:0000:0000:8a2e:0370:7334
jane.smith@gmail.com,admin,555.012.3456,987-65-4321,GB123456A7B,5425-9234-5678-9012,Jane Smith,456 Oak Avenue Boston MA,ES9121000418450200051332,BBVAESMMXXX,110000000,9876543210,3J98t1WpEbhxpnUV5SSQvjK,pk_test_51234567890ABCDEFGH,10.0.0.50,fc00::1
bob.wilson@yahoo.com,letmein,+44-20-7946-0958,456-78-9012,SK1234567890AB,3782-822463-10005,Robert Wilson,789 Pine Road Chicago IL,IT60X0542811101000000123456,UNCRITMMXXX,031000004,4567890123,bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4,acct_1234567890abcdef,172.16.0.1,fe80::1
alice.brown@hotmail.com,qwerty,202-555-0173,789-01-2345,PL60102010260000042361023,6011-6234-5678-9012,Alice Brown,321 Elm Court Denver CO,CH93-0076-2011-6238-5295-7,PBNKCHZZ,051000017,7890123456,ripple:rN7n7otQDd6FczFgLdSqtcsAUxDkw6fzRH,d_pat_1234567890abcdefghijklmnop,192.0.2.1,::1
charlie.davis@outlook.com,123456,+1-202-555-0148,234-56-7890,EL12-345-678-9-12,3714-696521-10001,Charles Davis,654 Maple Lane Phoenix AZ,DE89370400440532013000,GENODEMM,121000248,2345678901,0x742d35Cc6634C0532925a3b844Bc9e7595f36bEb,pm_card_pmay_1234567890abcd,203.0.113.1,2001:db8::8a2e:370:7334
diana.miller@protonmail.com,password,+33-1-42-68-53-00,567-89-0123,HR12345678,5236-1234-5678-9012,Diana Miller,987 Cedar Drive San Francisco CA,AE070331234567890123456,ADCMAE2N,075000013,5678901234,LN1QJ6FA47BWtohQHrj8W99YGLZ,tok_visa_4242424242424242,198.51.100.1,2001:db8:a0b:12f0::1
evan.taylor@gmail.com,welcome,+81-3-1234-5678,890-12-3456,MY1234567890AB123,4024-0071-6623-2210,Evan Taylor,159 Birch Path Los Angeles CA,GB82WEST12345698765432,WESTGB2L,074000011,8901234567,DdzSQEXWXUvYtaKxubYHkBmF8nqydx7aY51iH2JGFX,sk_live_abcdefghijklmnopqrstuvwx,192.88.99.1,2001:db8:f53b:82e4:0:8a2e:370:7334
fiona.johnson@yahoo.com,sunshine,+1-408-555-0143,123-45-6789,RS3456789012345,3528-0343-6467-4357,Fiona Johnson,357 Willow Street Houston TX,FR1420041010050500013M02606,BNPAFRPP,031101169,1234567890,tzaddr1qyuxemjejewf343cutuumobyd3c326f24373ehorygvmg8fcge6x3,pm_1234567890abcdefghijklmnop,224.0.0.1,2001:db8:85a3::8a2e:370:7334
grace.lee@outlook.com,dragon,+1-650-253-0000,456-78-9012,CY12345678P,4532-1489-0343-6467,Grace Lee,753 Oak Parkway Miami FL,BE68539007547034,GEBABEBB,211000000,5678901234,addr_test1qrst2nqgjyg6q4kfr4g2xzfp4eqzffx5rj42gl5x,rk_live_01234567890123456789012,255.255.255.255,::ffff:192.0.2.1
henry.martinez@protonmail.com,baseball,+1-206-555-0100,789-01-2345,PT12345678901234,6011-1111-1111-1111,Henry Martinez,951 Spruce Court Philadelphia PA,AT611904300234573201,SPADATW1,011000015,8901234567,DdzFFY8NP1bWkK8bNMLmxTZP1M5iJPvDmAK2j5i7vWJrBkBn5HuFUH2hNvjDa,pci_token_abc123def456ghi789jkl,240.0.0.1,2001:db8:0:0:8:800:200c:417a
isabella.garcia@hotmail.com,master,+1-212-555-0103,234-56-7890,GR12345678901234,5555-4444-3333-2222,Isabella Garcia,258 Chestnut Boulevard San Antonio TX,LU280019400644750000,GEBABE22,012000013,2345678901,mg_test_abc123def456789,acct_test_9876543210abcdef,127.0.0.1,ff02::1
